Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Object Repository/AmazonLogin/EmailInvalid/Page_Amazon Sign-In/span_We cannot find an account with that em_0dde72""), ""We cannot find an account with that email address"")",Chrome 122.0.0.0,,,18-03-2024 14:39:35,18-03-2024 14:40:06,30.266s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,18-03-2024 14:40:06,18-03-2024 14:40:36,30.140s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,18-03-2024 14:40:36,18-03-2024 14:40:36,0.552s,PASSED
,,,,,,,
Test Cases/Search Product/Search by keyword,Chrome 122.0.0.0,,,18-03-2024 14:40:37,18-03-2024 14:43:14,2m - 37.412s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,18-03-2024 14:40:37,18-03-2024 14:40:39,2.313s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 122.0.0.0,,,18-03-2024 14:40:39,18-03-2024 14:40:45,5.876s,PASSED
"click(findTestObject(""Object Repository/Search/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""))",Chrome 122.0.0.0,,,18-03-2024 14:40:45,18-03-2024 14:41:15,30.428s,PASSED
"setText(findTestObject(""Object Repository/Search/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Lenovo ideapad gaming 3"")",Chrome 122.0.0.0,,,18-03-2024 14:41:15,18-03-2024 14:42:16,1m - 0.640s,PASSED
"click(findTestObject(""Object Repository/Search/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 122.0.0.0,,,18-03-2024 14:42:16,18-03-2024 14:42:53,36.951s,PASSED
"click(findTestObject(""Object Repository/Search/Page_Amazon.com  Lenovo ideapad gaming 3/span_IdeaPad Gaming 3 15.6 FHD 120Hz Laptop_3af257""))",Chrome 122.0.0.0,,,18-03-2024 14:42:53,18-03-2024 14:43:04,11.514s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,18-03-2024 14:43:04,18-03-2024 14:43:13,8.252s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,18-03-2024 14:43:13,18-03-2024 14:43:14,1.181s,PASSED
,,,,,,,
Test Cases/Cart/Add to Cart,Chrome 122.0.0.0,,,18-03-2024 14:43:14,18-03-2024 14:50:44,7m - 29.882s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,18-03-2024 14:43:14,18-03-2024 14:43:17,2.355s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 122.0.0.0,,,18-03-2024 14:43:17,18-03-2024 14:43:24,7.487s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add Cart/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=automotive-intl-ship"", true)",Chrome 122.0.0.0,,,18-03-2024 14:43:24,18-03-2024 14:44:56,1m - 31.419s,PASSED
"setText(findTestObject(""Object Repository/Add Cart/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Brake"")",Chrome 122.0.0.0,,,18-03-2024 14:44:56,18-03-2024 14:45:56,1m - 0.816s,PASSED
"click(findTestObject(""Object Repository/Add Cart/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 122.0.0.0,,,18-03-2024 14:45:56,18-03-2024 14:46:39,42.251s,PASSED
"click(findTestObject(""Object Repository/Add Cart/Page_Amazon.com  Brake/span_Front Brake Rotors and Pads Kit Compat_6632a7""))",Chrome 122.0.0.0,,,18-03-2024 14:46:39,18-03-2024 14:46:58,19.578s,PASSED
"click(findTestObject(""Object Repository/Add Cart/Page_Amazon.com Geekstop Front Brake Rotors_23f753/input_Shipping cost, delivery date, and ord_223673""))",Chrome 122.0.0.0,,,18-03-2024 14:46:58,18-03-2024 14:47:36,37.904s,PASSED
"click(findTestObject(""Object Repository/Add Cart/Page_Amazon.com Shopping Cart/input_Indonesia_a-button-input""))",Chrome 122.0.0.0,,,18-03-2024 14:47:36,18-03-2024 14:48:07,30.435s,PASSED
"rightClick(findTestObject(""Object Repository/Add Cart/Page_Amazon.com Shopping Cart/h1_Added to Cart""))",Chrome 122.0.0.0,,,18-03-2024 14:48:07,18-03-2024 14:48:42,35.459s,PASSED
"click(findTestObject(""Object Repository/Add Cart/Page_Amazon.com Shopping Cart/div_Added to Cart                          _039514""))",Chrome 122.0.0.0,,,18-03-2024 14:48:42,18-03-2024 14:49:12,30.296s,PASSED
"click(findTestObject(""Object Repository/Add Cart/Page_Amazon.com Shopping Cart/div_Added to Cart                          _039514_1""))",Chrome 122.0.0.0,,,18-03-2024 14:49:12,18-03-2024 14:49:43,30.247s,PASSED
"verifyElementText(findTestObject(""Object Repository/Add Cart/Page_Amazon.com Shopping Cart/h1_Added to Cart""), ""Added to Cart"")",Chrome 122.0.0.0,,,18-03-2024 14:49:43,18-03-2024 14:50:13,30.196s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,18-03-2024 14:50:13,18-03-2024 14:50:43,30.269s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,18-03-2024 14:50:43,18-03-2024 14:50:44,0.708s,PASSED
,,,,,,,
Test Cases/Search Product/Search by category,Chrome 122.0.0.0,,,18-03-2024 14:50:44,18-03-2024 14:56:25,5m - 40.778s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,18-03-2024 14:50:44,18-03-2024 14:50:47,2.580s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 122.0.0.0,,,18-03-2024 14:50:47,18-03-2024 14:50:55,8.405s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Search/Search by Category/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 122.0.0.0,,,18-03-2024 14:50:55,18-03-2024 14:52:26,1m - 31.377s,PASSED
"setText(findTestObject(""Object Repository/Search/Search by Category/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Muqaddimah"")",Chrome 122.0.0.0,,,18-03-2024 14:52:26,18-03-2024 14:53:27,1m - 0.463s,PASSED
"click(findTestObject(""Object Repository/Search/Search by Category/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 122.0.0.0,,,18-03-2024 14:53:27,18-03-2024 14:54:05,38.124s,PASSED
"click(findTestObject(""Object Repository/Search/Search by Category/Page_Amazon.com  Muqaddimah/span_The Muqaddimah An Introduction to Hist_33a059""))",Chrome 122.0.0.0,,,18-03-2024 14:54:05,18-03-2024 14:54:45,40.146s,PASSED
"rightClick(findTestObject(""Object Repository/Search/Search by Category/Page_Amazon.com The Muqaddimah An Introduct_e14ac2/span_The Muqaddimah An Introduction to Hist_33a059""))",Chrome 122.0.0.0,,,18-03-2024 14:54:45,18-03-2024 14:55:16,30.672s,PASSED
"click(findTestObject(""Object Repository/Search/Search by Category/Page_Amazon.com The Muqaddimah An Introduct_e14ac2/h1_The Muqaddimah An Introduction to Histor_b361d6""))",Chrome 122.0.0.0,,,18-03-2024 14:55:16,18-03-2024 14:55:47,30.763s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,18-03-2024 14:55:47,18-03-2024 14:56:17,30.546s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,18-03-2024 14:56:17,18-03-2024 14:56:25,7.380s,PASSED
